epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.47275,0.80265,3.66153,1.00901,0.00167,0.05646,0.00115,0.00022,0.7299,3.6578,0.90694,0.0005,0.0005,0.0005
2,16.7882,0.87941,2.97042,0.97043,0.02373,0.784,0.18653,0.12707,0.88786,3.43713,0.98423,0.00075375,0.00075375,0.00075375
3,25.092,0.89082,2.53721,0.97367,0.02517,0.93119,0.22946,0.17193,0.865,3.26305,0.97201,0.000425,0.000425,0.000425
