epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.72211,0.42355,1,1,0.1683,0.000729313,0.000729313,0.000729313
2,5.35594,0.11472,1,1,0.00564,0.00104708,0.00104708,0.00104708
3,7.91468,0.04034,1,1,0.00186,0.00056678,0.00056678,0.00056678
